WESTERN BLUEBIRD
PINE SISKIN
AMERICAN CROW
BROWN-HEADED COWBIRD
American BUSHTIT
AMERICAN ROBIN
CALIFORNIA SCRUB-JAY
CEDAR WAXWING
BLACK PHOEBE
ANNA'S HUMMINGBIRD
SPOTTED TOWHEE
MOURNING DOVE
HOODED ORIOLE
WHITE-BREASTED NUTHATCH
BEWICK'S WREN
COOPER'S HAWK
CALIFORNIA TOWHEE
NUTTALL'S WOODPECKER
WHITE-CROWNED SPARROW
GOLDEN-CROWNED SPARROW
HOUSE FINCH
DARK-EYED JUNCO
HOUSE SPARROW
Canada Goose
Mallard
California Quail
Wild Turkey
Pied-billed Grebe
Double-crested Cormorant
Brown Pelican
Great Egret
Snowy Egret 
Great Blue Heron
Turkey Vulture
Red-tailed Hawk
Red-shouldered Hawk
American Kestrel
American Coot
Killdeer
Black-necked Stilt
Ring-billed Gull
Rock Pigeon
White-throated Swift
Belted Kingfisher
Acorn Woodpecker
Steller's Jay
Cliff Swallow
Barn Swallow
Chestnut-backed Chickadee
Oak Titmouse
Northern Mockingbird
European Starling
Yellow-rumped Warbler
Song Sparrow
Red-winged Blackbird
Western Meadowlark
Brewer's Blackbird
American Goldfinch
Lesser Goldfinch
Western Sandpiper
Varied Thrush
Pygmy Nuthatch
Ruby-crowned Kinglet
Lesser Scaup
Greater Scaup
Wood Duck
Black-crowned Night-Heron
Great Horned Owl
Townsend's Warbler
Allen's Hummingbird
Red-masked Parakeet
Black Oystercatcher
